"id","city_name","county_id","state_id"
1,"Aaronsburg",2254,39
2,"Abbeville",1523,25
3,"Abbeville",1119,19
4,"Abbeville",28,1
5,"Abbeville",388,11
6,"Abbeville",2405,42
7,"Abbot",1221,20
8,"Abbotsford",3080,51
9,"Abbott",2612,45
10,"Abbottstown",2255,39
11,"Abbyville",893,17
12,"Abell",1197,21
13,"Abercrombie",1762,35
14,"Aberdeen",2451,43
15,"Aberdeen",2052,36
16,"Aberdeen",1198,21
17,"Aberdeen",998,18
18,"Aberdeen",3041,49
19,"Aberdeen",1661,34
20,"Aberdeen",652,13
21,"Aberdeen",1524,25
22,"Aberdeen Proving Ground",1198,21
23,"Abernant",29,1
24,"Abernathy",2613,45
25,"Abie",1815,28
26,"Abilene",2614,45
27,"Abilene",894,17
28,"Abingdon",2895,48
29,"Abingdon",1198,21
30,"Abingdon",697,14
31,"Abington",1183,22
32,"Abington",308,7
33,"Abington",2256,39
34,"Abiquiu",1940,32
35,"Abita Springs",1120,19
36,"Abrams",3081,51
37,"Absaraka",1763,35
38,"Absarokee",1605,27
39,"Absecon",1918,31
40,"Acampo",185,5
41,"Accident",1199,21
42,"Accokeek",1200,21
43,"Accomac",2896,48
44,"Accord",1990,33
45,"Accord",1183,22
46,"Accoville",3153,50
47,"Ace",2615,45
48,"Achille",2141,37
49,"Achilles",2897,48
50,"Ackerly",2616,45
51,"Ackerman",1525,25
52,"Ackermanville",2257,39
53,"Ackley",552,16
54,"Ackworth",553,16
55,"Acme",1238,23
56,"Acme",2258,39
57,"Acme",3042,49
58,"Acme",1121,19
59,"Acosta",2259,39
60,"Acra",1991,33
61,"Acton",1606,27
62,"Acton",1184,22
63,"Acton",1222,20
64,"Acton",186,5
65,"Acushnet",1185,22
66,"Acworth",1908,30
67,"Acworth",389,11
68,"Acworth",390,11
69,"Ada",2142,37
70,"Ada",2053,36
71,"Ada",1239,23
72,"Ada",1321,24
73,"Adah",2260,39
74,"Adair",698,14
75,"Adair",554,16
76,"Adair",2143,37
77,"Adairsville",391,11
78,"Adairville",999,18
79,"Adak",1,2
80,"Adamant",3027,47
81,"Adams",1000,18
82,"Adams",2144,37
83,"Adams",3082,51
84,"Adams",1322,24
85,"Adams",1186,22
86,"Adams",2218,38
87,"Adams",2517,44
88,"Adams",1992,33
89,"Adams",1764,35
90,"Adams",1816,28
91,"Adams Basin",1993,33
92,"Adams Center",1992,33
93,"Adams Run",2406,42
94,"Adamsburg",2258,39
95,"Adamstown",1201,21
96,"Adamstown",2261,39
97,"Adamsville",2262,39
98,"Adamsville",30,1
99,"Adamsville",2518,44
100,"Adamsville",2400,41
101,"Adamsville",2054,36
102,"Addieville",699,14
103,"Addington",2145,37
104,"Addis",1122,19
105,"Addison",31,1
106,"Addison",700,14
107,"Addison",2617,45
108,"Addison",1223,20
109,"Addison",1240,23
110,"Addison",2259,39
111,"Addison",1994,33
112,"Addy",3043,49
113,"Addyston",2055,36
114,"Adel",2219,38
115,"Adel",392,11
116,"Adel",555,16
117,"Adelanto",187,5
118,"Adell",3083,51
119,"Adelphi",2056,36
120,"Adelphia",1919,31
121,"Adena",2057,36
122,"Adger",30,1
123,"Adin",188,5
124,"Adirondack",1995,33
125,"Adjuntas",2322,40
126,"Adkins",2618,45
127,"Admire",895,17
128,"Adna",3044,49
129,"Adolph",1323,24
130,"Adolphus",1001,18
131,"Adona",95,4
132,"Adrian",393,11
133,"Adrian",2619,45
134,"Adrian",1408,26
135,"Adrian",1324,24
136,"Adrian",1240,23
137,"Adrian",2263,39
138,"Adrian",3154,50
139,"Adrian",2220,38
140,"Advance",800,15
141,"Advance",1409,26
142,"Advance",1662,34
143,"Advent",3155,50
144,"Afton",1325,24
145,"Afton",1241,23
146,"Afton",2898,48
147,"Afton",2146,37
148,"Afton",2519,44
149,"Afton",3209,52
150,"Afton",556,16
151,"Afton",3084,51
152,"Afton",2620,45
153,"Afton",1996,33
154,"Agar",2452,43
155,"Agate",1765,35
156,"Agate",243,6
157,"Agawam",1187,22
158,"Agency",557,16
159,"Agency",1410,26
160,"Agenda",896,17
161,"Ages Brookside",1002,18
162,"Agness",2221,38
163,"Agoura Hills",186,5
164,"Agra",897,17
165,"Agra",2147,37
166,"Agua Dulce",2621,45
167,"Aguada",2323,40
168,"Aguadilla",2324,40
169,"Aguanga",189,5
170,"Aguas Buenas",2325,40
171,"Aguila",170,3
172,"Aguilar",244,6
173,"Aguirre",2326,40
174,"Ah Gwah Ching",1326,24
175,"Ahmeek",1242,23
176,"Ahoskie",1663,34
177,"Ahsahka",653,13
178,"Ahwahnee",190,5
179,"Aibonito",2327,40
180,"Aiea",548,12
181,"Aiken",2622,45
182,"Aiken",2407,42
183,"Ailey",394,11
184,"Aimwell",1123,19
185,"Ainsworth",558,16
186,"Ainsworth",1817,28
187,"Airville",2264,39
188,"Airway Heights",3045,49
189,"Aitkin",1327,24
190,"Ajo",171,3
191,"Akaska",2453,43
192,"Akeley",1328,24
193,"Akers",1124,19
194,"Akiachak",2,2
195,"Akiak",2,2
196,"Akin",701,14
197,"Akron",559,16
198,"Akron",245,6
199,"Akron",2058,36
200,"Akron",2261,39
201,"Akron",32,1
202,"Akron",1997,33
203,"Akron",1243,23
204,"Akron",801,15
205,"Akutan",3,2
206,"Alabaster",33,1
207,"Alachua",320,10
208,"Aladdin",3210,52
209,"Alakanuk",4,2
210,"Alamance",1664,34
211,"Alameda",191,5
212,"Alamo",192,5
213,"Alamo",802,15
214,"Alamo",2520,44
215,"Alamo",1766,35
216,"Alamo",2623,45
217,"Alamo",1973,29
218,"Alamo",395,11
219,"Alamogordo",1941,32
220,"Alamosa",246,6
221,"Alanreed",2624,45
222,"Alanson",1244,23
223,"Alapaha",396,11
224,"Alba",1245,23
225,"Alba",2265,39
226,"Alba",1411,26
227,"Alba",2625,45
228,"Albany",1003,18
229,"Albany",2141,37
230,"Albany",702,14
231,"Albany",2626,45
232,"Albany",803,15
233,"Albany",1125,19
234,"Albany",2059,36
